Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,086282,1978,11,10.1,Y
IDCJAC0004,086282,1978,12,11.2,Y
IDCJAC0004,086282,1979,01,14.8,Y
IDCJAC0004,086282,1979,02,14.7,Y
IDCJAC0004,086282,1979,03,12.6,Y
IDCJAC0004,086282,1979,04,9.2,Y
IDCJAC0004,086282,1979,05,7.1,Y
IDCJAC0004,086282,1979,06,7.1,Y
IDCJAC0004,086282,1979,07,4.6,Y
IDCJAC0004,086282,1979,08,5.0,Y
IDCJAC0004,086282,1979,09,7.1,Y
IDCJAC0004,086282,1979,10,9.0,Y
IDCJAC0004,086282,1979,11,10.9,Y
IDCJAC0004,086282,1979,12,11.4,Y
IDCJAC0004,086282,1980,01,12.0,Y
IDCJAC0004,086282,1980,02,12.3,Y
IDCJAC0004,086282,1980,03,11.1,Y
IDCJAC0004,086282,1980,04,11.3,Y
IDCJAC0004,086282,1980,05,9.0,Y
IDCJAC0004,086282,1980,06,6.6,Y
IDCJAC0004,086282,1980,07,5.6,Y
IDCJAC0004,086282,1980,08,6.5,Y
IDCJAC0004,086282,1980,09,8.4,Y
IDCJAC0004,086282,1980,10,9.0,Y
IDCJAC0004,086282,1980,11,10.9,Y
IDCJAC0004,086282,1980,12,13.5,Y
IDCJAC0004,086282,1981,01,16.1,Y
IDCJAC0004,086282,1981,02,16.3,Y
IDCJAC0004,086282,1981,03,11.8,Y
IDCJAC0004,086282,1981,04,10.2,Y
IDCJAC0004,086282,1981,05,8.2,Y
IDCJAC0004,086282,1981,06,6.2,Y
IDCJAC0004,086282,1981,07,6.4,Y
IDCJAC0004,086282,1981,08,6.2,Y
IDCJAC0004,086282,1981,09,7.9,Y
IDCJAC0004,086282,1981,10,8.0,Y
IDCJAC0004,086282,1981,11,9.9,Y
IDCJAC0004,086282,1981,12,11.8,Y
IDCJAC0004,086282,1982,01,14.8,Y
IDCJAC0004,086282,1982,02,13.9,Y
IDCJAC0004,086282,1982,03,13.3,Y
IDCJAC0004,086282,1982,04,10.1,Y
IDCJAC0004,086282,1982,05,8.3,Y
IDCJAC0004,086282,1982,06,4.4,Y
IDCJAC0004,086282,1982,07,3.1,Y
IDCJAC0004,086282,1982,08,6.2,Y
IDCJAC0004,086282,1982,09,5.4,Y
IDCJAC0004,086282,1982,10,7.6,Y
IDCJAC0004,086282,1982,11,10.5,Y
IDCJAC0004,086282,1982,12,12.1,Y
IDCJAC0004,086282,1983,01,11.1,Y
IDCJAC0004,086282,1983,02,15.2,Y
IDCJAC0004,086282,1983,03,14.3,Y
IDCJAC0004,086282,1983,04,9.0,Y
IDCJAC0004,086282,1983,05,8.8,Y
IDCJAC0004,086282,1983,06,5.1,Y
IDCJAC0004,086282,1983,07,5.3,Y
IDCJAC0004,086282,1983,08,6.7,Y
IDCJAC0004,086282,1983,09,7.2,Y
IDCJAC0004,086282,1983,10,8.6,Y
IDCJAC0004,086282,1983,11,10.1,Y
IDCJAC0004,086282,1983,12,12.5,Y
IDCJAC0004,086282,1984,01,12.5,Y
